gene_name	number_of_transposon_per_gene	number_of_read_pergene
YDL057W 	53 	1443 	
MBP1 	71 	1044 	
PSA1 	54 	676 	
MCH1 	26 	238 	
PBP4 	20 	425 	
SLC1 	34 	675 	
LHP1 	27 	703 	
YDL050C 	8 	129 	
KNH1 	5 	17 	
STP4 	58 	1091 	
SIT4 	66 	2177 	
NPC2 	32 	638 	
MRP10 	7 	61 	
FAD1 	55 	1373 	
MTF2 	52 	898 	
PRP11 	41 	783 	
SIR2 	101 	3159 	
YDL041W 	11 	203 	
NAT1 	90 	1633 	
PRM7 	64 	1758 	
BSC1 	18 	259 	
PUS9 	77 	1570 	
GPR1 	189 	3478 	
YDL034W 	31 	457 	
SLM3 	37 	439 	
YDL032W 	9 	105 	
DBP10 	221 	7545 	
PRP9 	131 	2634 	
ARP2 	46 	489 	
MPS1 	107 	2234 	
YDL027C 	73 	1759 	
YDL026W 	21 	235 	
RTK1 	19 	255 	
YDL025W-A 	1 	0 	
DIA3 	50 	810 	
YDL022C-A 	1 	0 	
YDL023C 	18 	194 	
GPD1 	81 	3370 	
GPM2 	50 	1120 	
RPN4 	83 	2376 	
OSH2 	172 	4048 	
